ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C1,Acme Corp,3,"T17,T27,T33,T31,T20,T3,T32,T26",GroupA,"{""location"":""New York"",""budget"":100000}"
C2,Globex Inc,1,"T35,T39,T10,T17,T46",GroupB,"{""message"":""ensure deliverables align with project scope"",""location"":""London"",""budget"":56000}"
C3,Initech,4,"T28,T7,T23,T40,T41,T31,T36,T21,T50,T14",GroupA,"{""sla"":""24h"",""vip"":true}"
C4,Umbrella Co,5,"T22,T1,T43,T21,T32,T41,T16,T5,T40,T13",GroupC,"{""message"":""budget approved pending CFO review"",""location"":""Mumbai"",""budget"":112000}"
C5,Stark Industries,2,"T36,T32,T8,T47,T7,T19,T20",GroupB,"{""notes"":""rush order"",""budget"":200000}"
C6,Wayne Enterprises,5,"T19,T16,T13,T40,T37,T46,T21,T3,T12",GroupA,"{""message"":""client prefers morning meetings"",""location"":""Tokyo"",""budget"":85000}"
C7,Soylent Corp,4,"T14,T38,T44,T35,T26,T18,T46,T16,T34,T47",GroupC,"{""location"":""London"",""priority"":""high""}"
C8,Hooli,3,"T13,T15,T8,T18,T22,T2,T24,T16",GroupA,"{""message"":""escalate any delays immediately"",""location"":""San Francisco"",""budget"":189000}"
C9,Massive Dynamic,1,"T35,T44,T39,T5,T41",GroupB,"{""region"":""APAC"",""budget"":150000}"
C10,Cyberdyne Systems,2,"T39,T3,T13,T50,T8,T2,T24,T26,T6",GroupC,"{""message"":""verify all entries for compliance"",""location"":""Paris"",""budget"":158000}"
C11,Tyrell Corp,3,"T15,T5,T20,T49,T23,T42,T28,T17",GroupA,"{""location"":""Sydney"",""contact"":""alice@example.com""}"
C12,Oceanic Airlines,1,"T31,T11,T45,T44,T37,T14,T4",GroupB,"{""message"":""follow up with regional manager"",""location"":""New York"",""budget"":57000}"
C13,Pied Piper,5,"T29,T43,T31,T12,T1",GroupC,"{""vip"":false,""notes"":""standard processing""}"
C14,Buzzfeed,2,"T22,T30,T45,T6,T10,T36,T1,T17",GroupA,"{""message"":""test integration in sandbox before prod"",""location"":""London"",""budget"":105000}"
C15,Nakatomi,4,"T25,T27,T9,T38,T41,T20,T40,T23",GroupB,"{""location"":""Berlin"",""budget"":80000}"
C16,Wonka Industries,5,"T49,T26,T45,T27,T48,T3,T37,T44",GroupC,"{""message"":""coordinate deliverables across teams"",""location"":""Mumbai"",""budget"":90000}"
C17,Sterling Cooper,2,"T3,T50,T39,T21,T36,T1,T32,T20",GroupA,"{""location"":""Toronto"",""budget"":120000}"
C18,Los Pollos Hermanos,3,"T27,T1,T21,T14,T44",GroupB,"{""message"":""update roadmap with client feedback"",""location"":""Berlin"",""budget"":75000}"
C19,Biffco,5,"T13,T20,T45,T18,T42",GroupC,"{""vip"":true,""sla"":""12h""}"
C20,Monolith,1,"T17,T9,T8,T29",GroupA,"{""message"":""schedule weekly status calls"",""location"":""Tokyo"",""budget"":65000}"
C21,Dinoco,4,"T21,T17,T36,T44",GroupB,"{""preferredContact"":""email"",""timezone"":""EST""}"
C22,Springfield Nuclear,2,"T41,T19,T24,T35,T12,T14,T25,T38,T28,T30",GroupC,"{""message"":""require NDA before sharing docs"",""location"":""Paris"",""budget"":80000}"
C23,Duff Beer,3,"T19,T3,T38,T50,T10,T11,T18",GroupA,"{""budget"":null,""notes"":""""}"
C24,Gotham LLC,1,"T22,T12,T20,T26,T49,T4,T34,T5",GroupB,"{""message"":""delay start date until client sign-off"",""location"":""New York"",""budget"":70000}"
C25,LexCorp,4,"T8,T28,T32,T3,T45,T20",GroupC,"{""location"":""Paris"",""budget"":50000}"
C26,Zeitgeist LLC,2,"T4,T25,T1,T13,T48,T6,T26,T15,T7",GroupA,"{""message"":""ensure data integrity before final export"",""location"":""London"",""budget"":95000}"
C27,Blue Ocean,5,"T29,T8,T34,T45,T44,T2,T5",GroupB,"{""location"":""Miami"",""budget"":90000}"
C28,Redwood Tech,3,"T30,T35,T24,T25,T7,T13",GroupC,"{""message"":""legacy system requires special handling"",""location"":""Tokyo"",""budget"":85000}"
C29,Quantum Dynamics,1,"T32,T13,T43,T49,T41,T46,T44,T34,T21,T35",GroupA,"{""sla"":""48h"",""vip"":false}"
C30,Apex Innovations,4,"T25,T38,T19,T31,T46,T10,T5",GroupB,"{""message"":""please coordinate with external partners"",""location"":""Delhi"",""budget"":60000}"
C31,Nova Solutions,5,"T1,T49,T11,T29,T22",GroupC,"{""location"":""Delhi"",""budget"":120000}"
C32,Evergreen Co,2,"T39,T44,T37,T6,T5,T34,T14,T28,T19",GroupA,"{""message"":""archive reports monthly"",""location"":""San Francisco"",""budget"":80000}"
C33,Horizon Enterprises,3,"T27,T5,T22,T20,T37,T32,T17,T33,T48",GroupB,"{""priority"":""medium"",""notes"":""review Q3 targets""}"
C34,Summit Group,4,"T39,T10,T32,T27,T31",GroupC,"{""message"":""escalate urgent requests ASAP"",""location"":""London"",""budget"":105000}"
C35,Pinnacle Corp,1,"T31,T4,T7,T25,T30",GroupA,"{""location"":""San Diego"",""budget"":110000}"
C36,Vertex Inc,5,"T23,T40,T45,T42,T13,T32,T4,T36,T25,T8",GroupB,"{""message"":""anticipate scope creep and mitigate risk"",""location"":""Toronto"",""budget"":115000}"
C37,Meridian Ltd,2,"T26,T44,T3,T29,T13,T8,T34",GroupC,"{""sla"":""24h"",""budget"":75000}"
C38,Aurora LLC,3,"T2,T17,T3,T32,T34",GroupA,"{""message"":""allow for seasonal delays"",""location"":""Mumbai"",""budget"":90000}"
C39,Solstice Inc,4,"T20,T8,T27,T37,T33,T28,T45,T10,T43,T34",GroupB,"{""notes"":""VIP status"",""region"":""EMEA""}"
C40,Zenith Solutions,1,"T21,T17,T5,T23,T27,T6,T32,T2",GroupC,"{""message"":""confirm time zones for all stakeholders"",""location"":""Paris"",""budget"":100000}"
C41,Parallax Group,2,"T10,T5,T39,T15,T24",GroupA,"{""location"":""Toronto"",""budget"":95000}"
C42,Kinetic Works,4,"T12,T39,T8,T30,T45",GroupA,"{""message"":""escalate billing issues to finance"",""location"":""Delhi"",""budget"":95000}"
C43,Catalyst Systems,5,"T6,T36,T12",GroupA,"{""priority"":""high"",""sla"":""6h""}"
C44,Odyssey Corp,3,"T33,T19,T12,T21,T48,T16",GroupA,"{""message"":""review legacy configurations"",""location"":""New York"",""budget"":120000}"
C45,Echelon Inc,1,"T10,T20,T9",GroupB,"{""budget"":null,""contact"":""ops@example.com""}"
C46,Vanguard Tech,2,"T24,T1",GroupC,"{""message"":""ensure encryption compliance"",""location"":""London"",""budget"":90000}"
C47,Integrity Labs,5,T30,GroupB,"{""location"":""Zurich"",""budget"":140000}"
C48,Unity Ventures,3,T8,GroupC,"{""message"":""prepare presentation deck by Friday"",""location"":""Paris"",""budget"":70000}"
C49,Velocity Corp,4,T1,GroupC,"{""sla"":""72h"",""notes"":""bulk orders only""}"
C50,Nexus Dynamics,2,T13,GroupB,"{""message"":""finalize project charter before kickoff"",""location"":""Delhi"",""budget"":85000}"